,Country,Maturity,Df,Spread,Dt,Survival,Hazard,Default,Marginal
0,UAE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,UAE,0.5,0.9739194619773832,0.0013050000000000002,0.5,0.9989136813715086,0.002173818200476821,0.0010863186284914006,-0.0010863186284914006
2,UAE,1.0,0.950349152147486,0.0013695,0.5,0.997720010154341,0.0023913677595360475,0.002279989845659025,-0.0011936712171676245
3,UAE,2.0,0.9109012059395228,0.0020564999999999997,1.0,0.9931087568056712,0.004632504484254336,0.006891243194328767,-0.004611253348669742
4,UAE,3.0,0.8769802267465086,0.00267,1.0,0.986544001260452,0.006632253643469502,0.013455998739547947,-0.006564755545219181
5,UAE,4.0,0.8455898622408221,0.0033315,1.0,0.9775562574212715,0.00915208532183192,0.0224437425787285,-0.00898774383918055
6,UAE,5.0,0.8159266372967575,0.00417715,1.0,0.9646959369250409,0.013242882134660723,0.03530406307495915,-0.012860320496230648
7,UAE,7.0,0.7603922705995413,0.005794,2.0,0.9313142698095871,0.017608089272454806,0.06868573019041291,-0.03338166711545376
8,UAE,10.0,0.6844218351932052,0.0071259999999999995,3.0,0.881231522180167,0.01842546523505661,0.11876847781983302,-0.05008274762942011
0,QATAR,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,QATAR,0.5,0.9739194619773832,0.001417,0.5,0.9988205593894542,0.002360273396011401,0.0011794406105457567,-0.0011794406105457567
2,QATAR,1.0,0.950349152147486,0.0015114999999999998,0.5,0.9974835377977297,0.0026789942344381066,0.0025164622022703087,-0.001337021591724552
3,QATAR,2.0,0.9109012059395228,0.0021995,1.0,0.9926357685002485,0.0048718475023869865,0.007364231499751517,-0.004847769297481208
4,QATAR,3.0,0.8769802267465086,0.0029785,1.0,0.9849857343396626,0.007736639501210503,0.015014265660337367,-0.00765003416058585
5,QATAR,4.0,0.8455898622408221,0.0036955,1.0,0.9751240100462992,0.010062505462327145,0.024875989953700772,-0.009861724293363405
6,QATAR,5.0,0.8159266372967575,0.0045064499999999995,1.0,0.962013145289283,0.013536537586766014,0.037986854710717055,-0.013110864757016283
7,QATAR,7.0,0.7603922705995413,0.0063535,2.0,0.9248644216847859,0.019690479747990132,0.07513557831521411,-0.03714872360449706
8,QATAR,10.0,0.6844218351932052,0.007846,3.0,0.8698620565888212,0.020437504061973418,0.1301379434111788,-0.05500236509596468
0,SAUDI,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,SAUDI,0.5,0.9739194619773832,0.001593,0.5,0.9986742599199563,0.002653239301795598,0.0013257400800437136,-0.0013257400800437136
2,SAUDI,1.0,0.950349152147486,0.002141,0.5,0.9964290919918527,0.004501358536046356,0.0035709080081473,-0.0022451679281035863
3,SAUDI,2.0,0.9109012059395228,0.0028095,1.0,0.9906165627080392,0.005850440173991373,0.009383437291960783,-0.0058125292838134834
4,SAUDI,3.0,0.8769802267465086,0.0036215,1.0,0.9818168643294282,0.00892274146287803,0.018183135670571837,-0.008799698378611054
5,SAUDI,4.0,0.8455898622408221,0.0042955,1.0,0.9712459143252069,0.010825103368310909,0.028754085674793095,-0.010570950004221258
6,SAUDI,5.0,0.8159266372967575,0.005181300000000001,1.0,0.9565721169620938,0.01522351230053091,0.043427883037906234,-0.014673797363113139
7,SAUDI,7.0,0.7603922705995413,0.006525,2.0,0.9237429131020449,0.017461191201614382,0.07625708689795507,-0.03282920386004884
8,SAUDI,10.0,0.6844218351932052,0.008055,3.0,0.8674582429969271,0.020955474855213766,0.1325417570030729,-0.05628467010511784
0,OMAN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,OMAN,0.5,0.9739194619773832,0.0036519999999999994,0.5,0.9969659004429852,0.006077423537422809,0.0030340995570148355,-0.0030340995570148355
2,OMAN,1.0,0.950349152147486,0.004693999999999999,0.5,0.9921975846685847,0.009588603337088856,0.007802415331415347,-0.004768315774400511
3,OMAN,2.0,0.9109012059395228,0.005869,1.0,0.9805488511623914,0.011809798444448327,0.019451148837608567,-0.01164873350619322
4,OMAN,3.0,0.8769802267465086,0.00747,1.0,0.9629310760482239,0.01813062998393811,0.03706892395177608,-0.01761777511416751
5,OMAN,4.0,0.8455898622408221,0.009741,1.0,0.9356788373882318,0.028709541967349428,0.06432116261176823,-0.027252238659992156
6,OMAN,5.0,0.8159266372967575,0.01177455,1.0,0.9034693635931405,0.03503009427711654,0.09653063640685955,-0.032209473795091315
7,OMAN,7.0,0.7603922705995413,0.015095499999999998,2.0,0.8309197550048787,0.04185448752680689,0.1690802449951213,-0.07254960858826176
8,OMAN,10.0,0.6844218351932052,0.017787999999999998,3.0,0.730018209722649,0.043154582387182866,0.26998179027735103,-0.10090154528222972
0,BAHRAIN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,BAHRAIN,0.5,0.9739194619773832,0.006083,0.5,0.9949564001814136,0.010112723393546078,0.005043599818586375,-0.005043599818586375
2,BAHRAIN,1.0,0.950349152147486,0.008308,0.5,0.9862377776920828,0.01760287581943538,0.013762222307917238,-0.008718622489330863
3,BAHRAIN,2.0,0.9109012059395228,0.012580000000000001,1.0,0.9586871560994034,0.028332676587608973,0.04131284390059664,-0.027550621592679403
4,BAHRAIN,3.0,0.8769802267465086,0.015395999999999998,1.0,0.9251728364932689,0.035584232466955024,0.07482716350673113,-0.03351431960613449
5,BAHRAIN,4.0,0.8455898622408221,0.017817000000000003,1.0,0.8862681650805739,0.04296099611997435,0.11373183491942607,-0.038904671412694936
6,BAHRAIN,5.0,0.8159266372967575,0.02050515,1.0,0.838996235101616,0.054813355107955736,0.16100376489838397,-0.047271929978957905
7,BAHRAIN,7.0,0.7603922705995413,0.023672,2.0,0.7514395851266817,0.055107702755714354,0.24856041487331826,-0.08755664997493429
8,BAHRAIN,10.0,0.6844218351932052,0.025838999999999997,3.0,0.641096317730552,0.052937035426359885,0.358903682269448,-0.11034326739612976
